STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2005-S1,,85,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2005-S2,,95,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2006-S1,,96,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2006-S2,,114,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2007-S1,,113,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2007-S2,,115,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2008-S1,,131,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2008-S2,,139,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2009-S1,,137,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2009-S2,,138,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2010-S1,,130,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2010-S2,,139,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2011-S1,,137,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2011-S2,,141,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2012-S1,,144,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2012-S2,,152,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2013-S1,,150,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2013-S2,,156,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2014-S1,,157,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2014-S2,,157,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2015-S1,,157,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2015-S2,,157,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2016-S1,,160,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2016-S2,,160,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2017-S1,,163,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2017-S2,,181,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2018-S1,,181,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2018-S2,,191,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2019-S1,,211,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2019-S2,,212,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2020-S1,,213,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2020-S2,,209,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2021-S1,,243,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2021-S2,,245,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2022-S1,,248,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2022-S2,,269,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2023-S1,,298,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2023-S2,,376,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2024-S1,,385,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2024-S2,,399,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2025-S1,,408,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2025-S2,,408,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,1999-S1,,1074,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,1999-S2,,1096,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2000-S1,,1096,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2000-S2,,1096,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2001-S1,,1118,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2001-S2,,1140,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2002-S1,,1140,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2002-S2,,1163,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2003-S1,,1163,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2003-S2,,1186,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2004-S1,,1186,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2004-S2,,1186,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2005-S1,,1210,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2005-S2,,1210,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2006-S1,,1234,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2006-S2,,1234,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2007-S1,,1259,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2007-S2,,1283,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2008-S1,,1310,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2008-S2,,1336,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2009-S1,,1388,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2009-S2,,1388,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2010-S1,,1388,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2010-S2,,1388,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2011-S1,,1415,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2011-S2,,1444,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2012-S1,,1444,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2012-S2,,1472,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2013-S1,,1502,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2013-S2,,1502,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2014-S1,,1502,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2014-S2,,1502,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2015-S1,,1502,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2015-S2,,1502,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2016-S1,,1502,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2016-S2,,1532,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2017-S1,,1532,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2017-S2,,1563,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2018-S1,,1563,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2018-S2,,1563,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2019-S1,,1594,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2019-S2,,1594,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2020-S1,,1594,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2020-S2,,1626,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2021-S1,,1626,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2021-S2,,1626,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2022-S1,,1658,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2022-S2,,1842,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2023-S1,,1955,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2023-S2,,1955,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2024-S1,,1994,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2024-S2,,2070,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2025-S1,,2070,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BE,Belgium,2025-S2,,2112,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,1999-S1,,31,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,1999-S2,,34,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2000-S1,,34,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2000-S2,,38,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2001-S1,,40,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2001-S2,,44,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2002-S1,,51,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2002-S2,,51,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2003-S1,,56,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2003-S2,,57,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2004-S1,,61,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2004-S2,,61,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2005-S1,,77,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2005-S2,,77,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2006-S1,,82,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2006-S2,,82,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2007-S1,,92,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2007-S2,,92,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2008-S1,,112,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2008-S2,,112,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2009-S1,,123,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2009-S2,,123,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2010-S1,,123,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2010-S2,,123,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2011-S1,,123,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2011-S2,,123,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2012-S1,,138,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2012-S2,,148,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2013-S1,,159,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2013-S2,,159,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2014-S1,,174,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2014-S2,,174,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2015-S1,,184,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2015-S2,,194,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2016-S1,,215,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2016-S2,,215,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2017-S1,,235,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2017-S2,,235,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2018-S1,,261,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2018-S2,,261,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2019-S1,,286,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2019-S2,,286,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2020-S1,,312,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2020-S2,,312,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2021-S1,,332,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2021-S2,,332,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,BG,Bulgaria,2022-S1,,332,,,,,
